# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	160
#@/user_id	9d9017ca-31a3-44f1-a23b-3b8d6c4984e3
bù 	不	c=1 d=1 t=142
wǒ yào 	我要	c=1 d=1 t=143
wǒ yào huí 	我要回	c=1 d=1 t=146
wǒ yě kàn dào le 	我也看到了	c=1 d=1 t=128
wǒ zhī qián 	我之前	c=0 d=0.1 t=83
wǒ zhī qián xiě 	我之前写	c=1 d=1 t=84
wǒ zěn me 	我怎么	c=1 d=1 t=112
xiàng mù 	项目	c=1 d=1 t=79
xiě 	写	c=0 d=0.1 t=83
xiǎo jiàn pán 	小键盘	c=1 d=1 t=157
xiǎo láng háo 	小狼毫	c=1 d=0.985112 t=160
xué shēng 	学生	c=1 d=1 t=120
yuè 	越	c=0 d=0.1 t=110
yuè huì 	越会	c=0 d=0.1 t=105
yuè huì duì nǐ 	越会对你	c=1 d=1 t=106
yuè hěn 	越狠	c=0 d=0.1 t=101
yuè ruò 	越弱	c=0 d=0.1 t=107
yuè ě xīn 	越恶心	c=1 d=1 t=111
yuē huì 	约会	c=0 d=0.1 t=104
yuē huì duì nǐ 	约会对你	c=1 d=1 t=105
yì fān 	一番	c=1 d=1 t=48
yí xià 	一下	c=0 d=0.1 t=98
yí yàng ma 	一样吗	c=1 d=0.927743 t=160
yòng hù 	用户	c=2 d=1.19062 t=160
yòng hù shù jù 	用户数据	c=1 d=1 t=126
yīn yáng 	阴阳	c=0 d=0.1 t=98
yīn yáng yí xià 	阴阳一下	c=1 d=1 t=99
yīng gāi 	应该	c=1 d=1 t=70
yǒu diǎn yì si 	有点意思	c=1 d=1 t=130
yǒu shí hòu 	有时候	c=1 d=1 t=97
zhuō miàn 	桌面	c=1 d=1 t=68
zhè 	这	c=1 d=0.987685 t=160
zhè bù gēn 	这不跟	c=1 d=0.923116 t=160
zhè ge 	这个	c=1 d=1.07788 t=127
zhè me zhòng yào 	这么重要	c=0 d=0.1 t=51
zhè zhǒng 	这种	c=0 d=0.1 t=91
zhè zhǒng dì fāng 	这种地方	c=1 d=1 t=92
zhèng shì bǎn 	正式版	c=1 d=1 t=133
zhí chǎng 	职场	c=1 d=1 t=100
zuì shì hé 	最适合	c=1 d=1 t=91
zì dìng yì 	自定义	c=1 d=1 t=159
zǒu le 	走了	c=0 d=0.1 t=80
ě xīn 	恶心	c=0 d=0.1 t=110
ǹ 	嗯	c=1 d=1 t=134
